Index,Name,Year,Nudity,Violence,Language,Genre,Budget,Plot Sentiment,IMDB Rating
0,Bad Boys for Life,2020,3,8,9,1 2 3,90000000,-0.6757,6.6
1,Bloodshot,2020,5,6,5,1 4 5,45000000,-0.9989,5.7
2,Blue Story,2020,6,7,10,3 4,1768000,-0.9997,5.8
3,Dolittle,2020,1,4,3,6 2 7,175000000,-0.965,5.6
4,Emma.,2020,3,1,1,2 4,10000000,0.9965,6.7
5,Extraction,2020,2,9,7,1 8,12000000,-0.9821,6.7
6,Fantasy Island,2020,4,5,5,1 6 9,7000000,-0.9966,4.9
7,Four Kids and It,2020,1,3,1,7 9,6800000,-0.1779,4.9
8,The Gentlemen,2020,5,8,10,1 2 3,22000000,-0.9993,7.9
9,The Grudge,2020,1,8,5,10 11 8,10000000,-0.9996,5.9
10,The Hunt,2020,1,8,10,1 10 8,14000000,-0.9993,6.5
11,Impractical Jokers: The Movie,2020,4,5,5,2,3000000,-0.3919,5.9
12,The Invisible Man,2020,1,7,5,5,500000,-0.9977,7.1
13,Mulan,2020,2,5,1,12 6 7,90000000,-0.9977,7.6
14,The Outpost,2020,4,8,10,1 4 14,18000000,-0.9992,6.7
15,The Photograph,2020,5,1,5,4 13,16000000,0.9804,5.9
16,The Rhythm Section,2020,6,6,7,1 4 11,50000000,-0.9975,5.2
17,The Secret Garden,2020,8,3,1,7,1400000,-0.3861,7.3
18,The Tax Collector,2020,4,10,10,1 3 4,30000000,-0.9963,4.7
19,Tesla,2020,3,4,1,14 4,5000000,-0.9687,5.1
20,That Good Night,2020,3,3,3,4,4080000,0.9997,6.6
21,Trolls World Tour,2020,2,3,1,12 6 2,90000000,0.9966,6.1
22,Underwater,2020,2,6,5,1 10 5,80000000,-0.9908,5.8
23,Unhinged,2020,6,8,7,10,100000,-0.9956,6.2
24,The Way Back,2020,2,3,10,6 4 14,30000000,-0.706,7.3
25,Wendy,2020,1,5,5,4 9,6000000,0.8775,5.7
26,Ad Astra,2019,1,6,5,6 4 11,90000000,-0.9978,6.6
27,Aladdin,2019,2,3,1,12 6 2,28000000,0.9968,8
28,Anna,2019,7,7,8,1 8,37748700,-0.5005,6.6
29,Arctic,2019,0,5,5,6 4,2000000,-0.9903,6.8
30,Avengers: Endgame,2019,1,6,4,1 6 4,356000000,-0.9902,8.4
31,Black Christmas,2019,4,7,5,10 11 8,5000000,-0.9971,7.2
32,Brian Banks,2019,4,5,5,14 4 15,10000000,-0.9855,7.2
33,Captain Marvel,2019,1,5,5,1 6 5,160000000,-0.9831,6.9
34,Captive State,2019,3,6,5,1 6 4,25000000,-0.9951,6
35,Cats,2019,1,3,1,2 4 7,95000000,0.9931,2.8
36,Charlie's Angels,2019,3,5,5,1 6 2,93000000,-0.9848,5.5
37,Climax,2019,8,7,7,4 10 16,3198000,-0.9975,7.1
38,The Climb,2019,6,4,10,1 6 4,2500000,-0.9404,5.9
39,Countdown,2019,3,5,5,10 8,6500000,-0.9989,5.4
40,Crawl,2019,1,9,5,3 8,380000,-0.9843,6.2
41,Doctor Sleep,2019,6,8,6,4 9 10,45000000,-0.9957,7.4
42,Don't Let Go,2019,1,6,5,4 10 11,5000000,-0.9956,6.2
43,Downton Abbey,2019,3,3,2,4 13,13000000,0.4404,7.4
44,Dumbo,2019,2,4,1,12 4 7,950000,-0.9826,7.2
45,Escape Room,2019,1,6,5,1 6 10,9000000,-0.9955,6.3
46,Fourteen,2019,4,3,6,4,95000,-0.1655,6.9
47,Gemini Man,2019,2,6,5,1 4 5,138000000,-0.9983,5.7
48,Glass,2019,1,7,4,4 5 8,20000000,-0.9962,6.7
49,Harriet,2019,2,5,5,1 14 4,17000000,-0.8542,6.5
50,Hellboy,2019,4,10,7,1 9 10,66000000,-0.9985,6.8
51,The Intruder,2019,5,6,5,4 11 13,4500000,-0.9989,5.6
52,The Irishman,2019,1,7,10,14 3 4,159000000,-0.9908,7.9
53,Jexi,2019,7,3,10,2 13,5000000,-0.8577,6.1
54,Jojo Rabbit,2019,2,5,5,2 4 17,14000000,-0.991,7.9
55,Joker,2019,5,7,7,3 4 8,55000000,-0.9986,8.5
56,Last Christmas,2019,4,3,5,2 4 13,25000000,0.994,6.5
57,The Lion King,2019,1,3,1,12 6 4,45000000,0.9999,8.5
58,Ma,2019,6,7,8,10 11 8,5000000,-0.9974,5.6
59,Men in Black: International,2019,3,5,4,1 6 2,110000000,-0.9724,5.6
60,Midway,2019,2,5,5,1 6 4,100000000,-0.9778,6.7
61,1917,2019,1,8,6,4 17,95000000,-0.9957,8.3
62,Parasite,2019,3,6,3,2 4 8,11400000,-0.9979,3.9
63,Pet Sematary,2019,4,8,5,10 11 8,21000000,-0.9995,6.6
64,Poms,2019,3,3,4,2 4 15,10000000,-0.9948,5.9
65,The Prodigy,2019,5,7,5,3 4 8,114000,-0.9977,5.8
66,Rambo: Last Blood,2019,4,9,6,1 8,50000000,-0.9939,6.1
67,Ready or Not,2019,3,8,10,2,1000000,0.9702,6.8
68,Replicas,2019,3,6,4,4 5 8,30000000,-0.997,5.5
69,Richard Jewell,2019,3,5,7,14 3 4,45000000,-0.9327,7.5
70,Rocketman,2019,7,4,7,14 4 16,40000000,0.8007,7.3
71,Scary Stories to Tell in the Dark,2019,2,6,5,6 10 11,25000000,-0.9962,6.2
72,Serenity,2019,5,6,10,1 6 5,39000000,-0.9915,7.8
73,Shaft,2019,3,7,10,1 3 8,46000000,-0.9904,5.9
74,Shazam!,2019,2,7,4,1 6 2,100000000,-0.9935,7.1
75,6 Underground,2019,3,9,10,1 8,150000000,-0.9866,6.1
76,Spider-Man: Far from Home,2019,3,5,4,1 6 5,160000000,-0.9988,7.5
77,Storm Boy,2019,5,4,2,6 4 7,25000000,0.4588,6.9
78,Tolkien,2019,0,6,2,14 4 13,20000000,0.9695,6.8
79,Toy Story 4,2019,6,3,1,12 6 2,200000000,0.9996,7.8
80,Under the Silver Lake,2019,9,6,9,3 4 11,8500000,-0.9821,6.5
81,Unplanned,2019,5,8,3,14 4,6000000,-0.9475,5.8
82,Vivarium,2019,6,4,6,2 10 11,4000000,-0.9944,5.8
83,What Men Want,2019,7,2,9,2 9 13,20000000,0.9933,5.2
84,Wonder Park,2019,1,2,1,12 6 2,90000000,0.9858,5.8
85,Yesterday,2019,3,3,5,2 9 16,26000000,0.9865,6.8
86,Action Point,2018,6,6,7,2,19000000,-0.9892,5.1
87,Ant-Man and the Wasp,2018,2,5,4,1 6 2,162000000,0.984,7.1
88,Aquaman,2018,2,5,4,1 6 9,160000000,-0.319,6.9
89,Assassination Nation,2018,8,8,10,1 2 3,7000000,-0.9898,5.9
90,Avengers: Infinity War,2018,2,7,4,1 6 5,321000000,-0.9948,8.4
91,Beautiful Boy,2018,5,4,8,14 4,25000000,0.7408,7.3
92,Ben Is Back,2018,2,3,8,4,13000000,-0.7799,6.7
93,BlacKkKlansman,2018,1,5,10,14 3 4,15000000,-0.9935,7.5
94,Black Panther,2018,2,6,3,1 6 5,200000000,-0.9973,7.3
95,Bohemian Rhapsody,2018,4,3,5,14 4 16,52000000,0.9946,8
96,Bumblebee,2018,3,5,4,1 6 5,135000000,-0.967,6.8
97,Creed II,2018,3,6,4,4 15,50000000,0.8714,7.1
98,Deadpool 2,2018,5,9,10,1 6 2,110000000,-0.9981,7.7
99,Destroyer,2018,5,6,10,1 3 4,9000000,-0.996,6.2
100,Disobedience,2018,7,2,5,4 13,6000000,0.9884,6.6
101,Dog Days,2018,3,3,3,2 4 13,10000000,0.9858,6.2
102,Every Day,2018,3,2,4,2 4 13,3000000,0.9919,6.4
103,Green Book,2018,4,5,5,14 2 4,23000000,-0.9313,8.2
104,Halloween,2018,6,9,7,3 10 8,10000000,-0.9775,7.8
105,Hell Fest,2018,4,8,7,10 8,5500000,-0.9958,5.5
106,Hotel Artemis,2018,2,7,10,1 3 4,15000000,-0.9935,6.1
107,Hotel Transylvania 3: Summer Vacation,2018,2,4,1,12 6 2,80000000,-0.9912,6.3
108,Indivisible,2018,1,5,1,4 17,2700000,-0.9948,5.8
109,Instant Family,2018,3,3,5,2 4,48000000,0.9415,7.3
110,Kin,2018,3,5,5,1 6 3,30000000,-0.9983,5.8
111,Mamma Mia! Here We Go Again,2018,4,2,1,2 16 13,75000000,0.9972,6.6
112,Mid90s,2018,5,5,10,2 4,1700000,-0.969,7.4
113,Mission: Impossible - Fallout,2018,1,6,5,1 6 8,178000000,-0.9967,7.7
114,Operation Finale,2018,1,6,5,14 4 14,24000000,-0.9897,6.6
115,Overboard,2018,5,3,4,2 13,12000000,-0.9877,6.9
116,Overlord,2018,3,9,7,1 6 10,38000000,-0.997,6.6
117,Paddington 2,2018,0,3,1,6 2 7,40000000,-0.907,7.8
118,Papillon,2018,1,8,4,14 3 4,12000000,-0.9867,8
119,Peter Rabbit,2018,2,3,2,6 2 7,50000000,-0.9902,6.6
120,The Predator,2018,6,10,10,1 6 5,88000000,-0.9975,5.3
121,Proud Mary,2018,1,6,5,1 3 4,14000000,-0.9987,4.9
122,Ready Player One,2018,3,5,5,1 6 5,175000000,0.1779,7.5
123,Red Sparrow,2018,9,8,7,1 4 8,69000000,-0.9825,6.6
124,Robin Hood,2018,3,6,4,1 6 4,200000000,-0.9939,6.6
125,Searching,2018,0,5,5,4 11 8,880000,-0.9964,7.6
126,Sherlock Gnomes,2018,4,2,1,12 6 2,59000000,0.4958,5.2
127,Shine,2018,3,3,7,14 4 16,5500000,0.8956,7.7
128,Skyscraper,2018,7,7,5,1 6 8,125000000,-0.9986,5.8
129,Slender Man,2018,5,6,5,10 11 8,10000000,-0.9798,3.2
130,Solo: A Star Wars Story,2018,3,6,3,1 6 5,275000000,-0.9968,6.9
131,Sorry to Bother You,2018,4,6,10,2 9 5,3200000,0.9798,6.9
132,SuperFly,2018,3,7,10,1 3 8,16000000,-0.9992,5.1
133,Super Troopers 2,2018,1,7,10,2 3 11,13500000,-0.7357,6
134,Tomb Raider,2018,1,6,4,1 6 9,94000000,-0.9985,6.3
135,Traffik,2018,7,6,10,1 3 4,4000000,-0.9969,6
136,Truth or Dare,2018,4,6,5,10 11,1000000,-0.9986,5.2
137,Tully,2018,3,5,6,2 4 11,13000000,-0.9788,7
138,Uncle Drew,2018,5,3,4,2 15,19000000,0.9855,5.7
139,Unfriended: Dark Web,2018,1,7,6,10 11 8,1000000,-0.9845,5.9
140,Unsane,2018,2,7,9,4 10 11,1500000,-0.9981,6.4
141,Upgrade,2018,6,8,6,1 5 8,5000000,-0.9984,7.5
142,Venom,2018,2,6,5,1 6 5,100000000,-0.9963,6.7
143,Vice,2018,4,6,7,1 6 5,10000000,0.9829,7.2
144,Aftermath,2017,5,5,5,10 5 8,2500000,-0.9967,5.6
145,Alien: Covenant,2017,5,9,8,10 5 8,97000000,-0.999,6.4
146,All Eyez on Me,2017,7,7,10,14 4 16,40000000,-0.9934,5.8
147,All Saints,2017,1,3,2,4,2000000,0.7964,6.1
148,American Assassin,2017,6,8,8,1 8,33000000,-0.9992,6.2
149,Baywatch,2017,7,7,10,1 2 3,69000000,-0.9979,5.5
150,Blade Runner 2049,2017,7,7,5,1 4 11,150000000,-0.9916,8
151,Cars 3,2017,0,2,1,12 6 2,175000000,0.9996,6.7
152,The Case for Christ,2017,1,3,2,14 4,5000000,0.9068,6.3
153,The Circle,2017,4,3,5,4 5 8,18000000,0.9437,5.3
154,Coco,2017,1,3,1,12 6 7,175000000,-0.9699,8.4
155,Daddy's Home 2,2017,4,3,4,2,69000000,-0.8318,6
156,Detroit,2017,5,8,10,3 4 14,34000000,-0.9992,7.3
157,The Disaster Artist,2017,6,2,10,14 2 4,10000000,0.9862,7.4
158,Dunkirk,2017,0,6,5,1 4 14,100000000,-0.967,7.9
159,Ferdinand,2017,1,3,2,12 6 2,111000000,-0.9955,6.7
160,The Foreigner,2017,5,7,6,1 8,35000000,-0.9994,7
161,Free Fire,2017,3,8,10,1 2 3,7480000,-0.9988,6.4
162,Geostorm,2017,1,6,4,1 5 8,120000000,-0.9956,5.3
163,Ghost in the Shell,2017,4,7,4,1 3 4,110000000,-0.9956,6.3
164,The Greatest Showman,2017,3,3,2,14 4 16,84000000,-0.9948,7.6
165,The Great Wall,2017,1,7,3,1 6 9,150000000,-0.9896,5.9
166,Happy End,2017,2,4,5,4,13600000,-0.9955,6.7
167,How to Be a Latin Lover,2017,5,3,4,2 4,10000000,-0.9948,6
168,It,2017,4,8,9,10,35000000,-0.9956,7.3
169,It Comes at Night,2017,4,6,6,10 11,5000000,-0.9977,6.2
170,Jigsaw,2017,2,10,9,3 4,400000,-0.999,5.8
171,Justice League,2017,3,6,4,1 6 9,300000000,-0.9143,6.3
172,Kidnap,2017,1,6,5,1 3 4,21000000,-0.9979,5.9
173,Kong: Skull Island,2017,2,7,5,1 6 9,185000000,-0.9961,6.6
174,Lady Bird,2017,6,3,6,2 4,10000000,0.9529,7.4
175,LBJ,2017,2,3,5,14 4 14,26000000,-0.9948,6.5
176,The LEGO Ninjago Movie,2017,1,3,1,12 1 6,70000000,-0.9948,6
177,Life,2017,1,7,7,2 3 4,80000000,-0.9964,6.6
178,Logan,2017,5,8,10,2 4 7,135000,-0.9983,8.1
179,The Lovers,2017,7,3,6,1 6 13,50000000,-0.6703,6
180,Molly's Game,2017,4,5,7,14 3 4,30000000,0.9437,7.4
181,Monster Trucks,2017,1,3,1,1 6 2,125000000,-0.059,5.6
182,Only the Brave,2017,4,5,5,4 17,3300000,-0.9797,7.6
183,Phoenix Forgotten,2017,1,4,4,10 11 5,2800000,-0.9593,5.3
184,Pitch Perfect 3,2017,3,4,3,2 16,45000000,0.9628,5.8
185,The Post,2017,1,3,5,4 8,50000000,-0.9753,7.2
186,Power Rangers,2017,2,5,4,1 6 5,100000000,-0.9798,5.9
187,The Promise,2017,4,7,3,1 6 4,90000000,-0.9948,6
188,Resident Evil: The Final Chapter,2017,3,8,3,1 10 5,40000000,-0.996,5.5
189,Rock Dog,2017,1,3,1,12 6 2,60000000,0.9975,5.9
190,The Shack,2017,2,5,1,4 9,20000000,0.9719,6.3
191,Silence,2017,5,8,2,4 14,46000000,-0.9963,7.2
192,Spider-Man: Homecoming,2017,2,6,4,1 6 5,175000000,-0.998,7.4
193,Split,2017,5,7,5,10 8,9000000,-0.9921,7.3
194,Suburbicon,2017,5,6,6,2 3 4,25000000,-0.9992,5.7
195,Thank You for Your Service,2017,7,6,10,14 4 17,20000000,0.9481,6.5
196,Thor: Ragnarok,2017,3,6,4,1 6 2,180000000,-0.9941,7.9
197,T2 Trainspotting,2017,5,6,10,4,18000000,-0.9971,7.2
198,Underworld: Blood Wars,2017,7,8,5,1 6 9,35000000,-0.9978,5.8
199,Wind River,2017,6,7,7,4 7 18,5500000,-0.9983,7.7
200,Wish Upon,2017,3,7,5,4 9 10,12000000,-0.9317,5
201,Wonder,2017,1,3,3,4 7,20000000,-0.9979,8
202,Wonder Woman,2017,4,6,1,1 6 9,149000000,-0.9979,7.4
203,Woodshock,2017,2,5,6,4 8,5000000,0.8473,4.3
204,The Accountant,2016,1,7,7,1 3 4,44000000,-0.9994,7.3
205,Arrival,2016,1,3,5,4 11 5,47000000,-0.8053,7.9
206,Assassin's Creed,2016,1,6,5,1 6 5,125000000,-0.9962,5.7
207,Batman v Superman: Dawn of Justice,2016,3,6,3,1 6 5,250000000,-0.9989,6.4
208,Ben-Hur,2016,2,6,1,6 4 14,15000000,-0.9944,8.1
209,Blair Witch,2016,1,6,8,10 11 8,5000000,-0.9818,5
210,The Boss,2016,5,5,9,2,29000000,-0.34,5.4
211,The Boy,2016,3,5,2,10 11 8,10000000,-0.9437,6
212,Bridget Jones's Baby,2016,7,4,7,2 4 13,35000000,0.0668,6.5
213,Captain America: Civil War,2016,1,7,3,1 6 5,250000000,-0.9947,7.8
214,Collateral Beauty,2016,1,3,5,4 13,36000000,0.9459,6.8
215,The Comedian,2016,4,4,10,2 4 13,15000000,0.8402,5.7
216,Criminal,2016,2,7,9,1 5 8,31500000,-0.9911,6.3
217,"Crouching Tiger, Hidden Dragon: Sword of Destiny",2016,3,7,0,1 6 4,20000000,-0.9984,6.1
218,The Darkness,2016,1,6,5,10 8,4000000,-0.9906,4.4
219,Deadpool,2016,8,8,10,1 6 2,58000000,-0.9942,8
220,Denial,2016,1,3,5,2 4 13,5000000,0.8268,6.7
221,Doctor Strange,2016,1,5,3,1 6 9,165000000,-0.9984,7.5
222,Ghostbusters,2016,2,4,3,1 2 9,144000000,-0.9941,7.8
223,The Girl on the Train,2016,8,6,9,1 8,28000000,-0.9992,6.5
224,Gods of Egypt,2016,5,6,3,1 6 9,140000000,-0.9948,5.4
225,Green Room,2016,1,9,10,10 16 8,5000000,-0.9948,7
226,Hands of Stone,2016,7,6,10,14 4 15,20000000,0.5789,6.6
227,Hell or High Water,2016,4,6,8,1 3 4,12000000,0.6313,7.6
228,The Hollars,2016,2,3,5,2 4 13,3800000,-0.9319,6.5
229,Inferno,2016,2,6,5,1 6 3,75000000,-0.9987,6.2
230,The Infiltrator,2016,6,7,10,14 3 4,28000000,-0.0516,7
231,Jackie,2016,2,5,5,14 4 14,9000000,-0.9897,6.7
232,Jason Bourne,2016,1,7,4,1 8,120000000,-0.9963,6.6
233,Keanu,2016,6,7,10,1 2 3,15000000,-0.9891,6.2
234,La La Land,2016,3,2,5,2 4 16,30000000,0.972,8
235,The Legend of Tarzan,2016,3,6,2,1 6 4,180000000,-0.9729,6.2
236,The Lobster,2016,7,6,5,2 4 13,4920000,-0.9927,7.2
237,Manchester by the Sea,2016,6,5,10,4,9000000,-0.9908,7.8
238,Max Steel,2016,1,5,4,1 6 9,10000000,-0.7096,4.6
239,Mechanic: Resurrection,2016,5,6,5,1 6 8,40000000,-0.9892,5.7
240,The Meddler,2016,2,3,5,2 4 13,3200000,0.09,6.3
241,Meet the Blacks,2016,5,6,10,2 10,900000,-0.9153,4.8
242,Moonlight,2016,6,5,7,4,4000000,-0.9919,7.4
243,Morgan,2016,1,6,5,1 10 5,8000000,-0.9826,5.8
244,Mother's Day,2016,4,3,5,2 4 13,25000000,-0.6908,5.7
245,Nerve,2016,4,5,5,6 3 4,19000000,0.9569,6.5
246,The Nice Guys,2016,7,7,10,1 2 3,50000000,-0.9804,7.4
247,Nine Lives,2016,2,3,2,1 6 4,20000000,-0.9941,5.3
248,Now You See Me 2,2016,1,5,4,1 6 2,90000000,-0.8022,6.5
249,Passengers,2016,5,5,7,4 13 5,110000000,-0.9973,7
250,Queen of Katwe,2016,2,3,1,14 4 15,15000000,0.9871,7.4
251,Risen,2016,2,5,1,14 4,272000,-0.9709,6.3
252,Sing,2016,6,2,1,12 2 7,75000000,0.999,7.1
253,Snowden,2016,2,4,7,14 3 4,40000000,0.9091,7.3
254,Suicide Squad,2016,1,6,4,1 6 9,175000000,-0.982,6
255,Sully,2016,5,4,5,14 4,60000000,0.3123,7.4
256,10 Cloverfield Lane,2016,1,6,5,1 4 10,15000000,-0.9975,7.2
257,Trolls,2016,1,3,2,12 6 2,125000000,0.998,6.5
258,Whiskey Tango Foxtrot,2016,6,7,10,14 2 4,35000000,0.9041,6.6
259,The Young Messiah,2016,2,6,2,4 9,18500000,-0.9894,5.6
260,American Ultra,2015,3,8,10,1 2,28000000,-0.9951,6.1
261,Anomalisa,2015,8,1,8,12 2 4,8000000,0.8126,7.3
262,Ant-Man,2015,1,5,4,1 6 2,130000000,-0.9974,7.3
263,Avengers: Age of Ultron,2015,3,6,3,1 6 5,250000000,-0.9966,7.3
264,Blackhat,2015,5,6,5,1 3 8,70000000,-0.9983,5.4
265,Black or White,2015,2,4,5,4,9000000,-0.9758,6.6
266,Black Sea,2015,2,6,10,6 4 8,10880000,-0.997,6.4
267,Brooklyn,2015,6,2,5,4 13,11000000,-0.7086,7.5
268,Captive,2015,3,5,3,1 3 4,2000000,-0.8834,5.4
269,Carol,2015,7,3,5,4 13,11800000,-0.6705,7.2
270,Cop Car,2015,0,6,6,3 8,800000,-0.9969,6.3
271,Crimson Peak,2015,7,7,5,4 9 10,55000000,-0.9985,6.5
272,Cut Bank,2015,2,6,7,3 4 8,5000000,-0.9948,6.1
273,Daddy's Home,2015,5,4,5,2 7,50000000,0.9834,6.2
274,The Danish Girl,2015,8,4,1,14 4 13,15000000,0.9757,7.1
275,Do You Believe?,2015,3,5,2,4,2300000,-0.7003,6.1
276,Entourage,2015,8,3,10,2,30000000,0.9697,6.6
277,Everest,2015,1,5,1,1 6 14,55000000,-0.9987,7.1
278,Ex Machina,2015,6,5,6,4 5 8,15000000,0.4117,7.7
279,Grandma,2015,4,2,7,2 4,600000,-0.9948,6.7
280,The Hateful Eight,2015,6,9,7,3 4 11,44000000,-0.9995,7.8
